elapsed_time_seconds,event_type,event_value,task_phase
0.000484,instruction_display,welcome_message,start_experiment
50.057436,key_press,right,start_experiment
50.068552,instruction_display,instruction_message,phase0
52.373002,key_press,right,phase0
52.373724,information_display,counter_starts,phase0a
68.072038,key_press,d,phase0a
69.377504,key_press,d,phase0a
70.861816,key_press,d,phase0a
73.25991,key_press,d,phase0a
75.119923,key_press,d,phase0a
75.132647,instruction_display,instruction_message,phase1a
80.434186,key_press,right,phase1a
80.858034,information_display,tone_start,phase1b
86.390861,information_display,tone_end,phase1b
86.455484,instruction_display,instruction_message,phase1c
87.953919,key_press,right,phase1c
88.377235,information_display,tone_start,phase1d
93.880075,information_display,tone_end,phase1d
93.961224,instruction_display,instruction_message,phase2a
97.742875,key_press,right,phase2a
98.164685,information_display,tone_start,phase2b
99.364727,key_press,D,phase2b
101.008809,key_press,F,phase2b
103.947722,key_press,D,phase2b
105.791787,key_press,F,phase2b
107.669741,key_press,D,phase2b
108.640222,information_display,tone_end,phase2b
108.712209,instruction_display,instruction_message,phase3a
111.636192,key_press,right,phase3a
113.42474,key_press,D,phase3b
114.898696,key_press,F,phase3b
114.899095,tic_mimicked_count,1,phase3b
116.391799,key_press,T,phase3b
117.654655,key_press,D,phase3b
118.497708,key_press,F,phase3b
118.498063,tic_mimicked_count,2,phase3b
119.571792,key_press,T,phase3b
120.375925,key_press,D,phase3b
121.096908,key_press,D,phase3b
122.044673,key_press,F,phase3b
122.045083,tic_mimicked_count,3,phase3b
123.267065,key_press,F,phase3b
124.575823,key_press,F,phase3b
126.893029,key_press,D,phase3b
127.663927,key_press,F,phase3b
127.664434,tic_mimicked_count,4,phase3b
129.10395,key_press,T,phase3b
131.036951,key_press,D,phase3b
131.985705,key_press,F,phase3b
131.986154,tic_mimicked_count,5,phase3b
132.085665,instruction_display,instruction_message,phase4a
133.907124,key_press,right,phase4a
137.375911,key_press,s,phase4b
138.864942,key_press,t,phase4b
141.16587,key_press,t,phase4b
144.00356,information_display,suppression_phase_end,phase4b
144.036072,instruction_display,instruction_message,end_experiment
150.157415,key_press,End of experiment,end_experiment
